android/platform-samples	A collection of samples of different Android OS platform APIs.	public	2023-09-26T17:42:36Z
android/nowinandroid	A fully functional Android app built entirely with Kotlin and Jetpack Compose	public	2023-09-26T14:03:55Z
android/gradle-declarative		public	2023-09-25T21:23:48Z
android/cose-lib		public	2023-09-25T18:46:49Z
android/kotlin-multiplatform-samples	Samples showcasing the experimental Kotlin Multiplatform Jetpack libraries	public	2023-09-25T17:56:01Z
android/performance-samples	Samples to show APIs and best practices in Performance on Android	public	2023-09-25T15:47:35Z
android/codelab-android-compose		public	2023-09-25T14:44:16Z
android/wear-os-samples	Multiple samples showing best practices in app and watch face development on Wear OS.	public	2023-09-25T12:39:31Z
android/architecture-samples	A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.	public	2023-09-25T01:55:26Z
android/health-samples		public	2023-09-23T02:06:41Z
android/compose-samples	Official Jetpack Compose samples.	public	2023-09-22T21:21:14Z
android/android-test	An extensive framework for testing Android apps	public	2023-09-22T18:28:36Z
android/gradle-recipes	Ready-to-use recipes for common build customizations that showcase the Android Gradle plugin's public APIs and DSL.	public	2023-09-22T16:52:37Z
android/snippets	Main repository for snippets surfaced on developer.android.com.	public	2023-09-21T12:37:09Z
android/tv-samples	Multiple samples showing best practices in app development on Android TV.	public	2023-09-21T09:48:23Z
android/architecture-templates		public	2023-09-20T19:41:48Z
android/large-screen-codelabs		public	2023-09-20T15:12:01Z
android/architecture-components-samples	Samples for Android Architecture Components.	public	2023-09-20T02:14:17Z
android/ndk	The Android Native Development Kit	public	2023-09-18T21:01:06Z
android/privacy-sandbox-samples		public	2023-09-18T16:59:01Z
android/android.github.io		public	2023-09-15T21:03:58Z
android/testing-samples	A collection of samples demonstrating different frameworks and techniques for automated testing	public	2023-09-15T18:26:58Z
android/sunflower	A gardening app illustrating Android development best practices with migrating a View-based app to Jetpack Compose.	public	2023-09-15T09:29:55Z
android/uamp	A sample audio app for Android	public	2023-09-14T10:59:42Z
android/input-samples	Multiple samples showing the best practices in input on Android.	public	2023-09-13T17:51:50Z
android/android-health-connect-codelab		public	2023-09-13T16:33:09Z
android/storage-samples	Multiple samples showing the best practices in storage APIs on Android.	public	2023-09-02T14:44:02Z
android/search-samples	Multiple samples demonstrating Search API usage in Android.	public	2023-08-30T18:50:51Z
android/play-billing-samples	Samples for Google Play In-app Billing	public	2023-08-29T00:56:38Z
android/renderscript-samples	Multiple samples showing renderscript best practices in Android.	public	2023-08-28T21:54:28Z
android/identity-samples	Multiple samples showing the best practices in identity on Android.	public	2023-08-28T20:46:32Z
android/connectivity-samples	Multiple samples showing the best practices in connectivity on Android.	public	2023-08-23T13:50:17Z
android/location-samples	Multiple samples showing the best practices in location APIs on Android.	public, archived	2023-08-23T08:46:50Z
android/games-samples	A collection of samples to discuss and showcase games in Android apps.	public	2023-08-22T17:57:04Z
android/user-interface-samples	Multiple samples showing the best practices in the user interface on Android.	public	2023-08-22T04:52:30Z
android/codelab-compose-for-wear-os	Learn how you can apply your knowledge of Compose to Wear OS	public	2023-08-09T17:21:01Z
android/ndk-samples	Android NDK samples with Android Studio	public	2023-08-04T21:20:12Z
android/enterprise-samples	Multiple samples showing the best practices in enterprise on Android.	public	2023-08-03T14:18:11Z
android/camera-samples	Multiple samples showing the best practices in camera APIs on Android.	public	2023-07-31T17:34:02Z
android/codelab-fido2		public	2023-07-31T02:13:06Z
android/codelab-android-sleep		public	2023-07-26T17:03:37Z
android/codelab-android-room-with-a-view		public	2023-07-03T17:50:56Z
android/adpf-game-adaptability-codelab		public	2023-07-03T02:06:48Z
android/codelab-android-datastore		public	2023-06-26T03:55:57Z
android/codelab-android-performance		public	2023-06-22T08:41:43Z
android/security-samples	Multiple samples showing the best practices in security APIs on Android.	public	2023-06-17T12:55:04Z
android/tv-codelabs	Topic repo for Android TV codelabs	public	2023-06-08T02:02:30Z
android/rr	Android mirror of the rr debugger.	public	2023-06-02T09:18:47Z
android/people-messaging-codelab		public	2023-05-18T22:18:59Z
android/views-widgets-samples	Multiple samples showing the best practices in views-widgets on Android.	public	2023-05-17T10:58:30Z
android/codelab-exoplayer-intro	Media Streaming with ExoPlayer codelab	public	2023-05-10T17:01:50Z
android/add-play-integrity-codelab	Code for the Add Play Integrity Codelab	public	2023-05-09T20:03:40Z
android/permissions-samples	Multiple samples showing the best practices in permissions on Android.	public, archived	2023-05-09T16:49:20Z
android/privacy-codelab		public	2023-05-03T21:18:06Z
android/car-codelabs		public	2023-05-01T20:35:47Z
android/security-certification-resources	Android Certification Tools	public	2023-04-26T21:23:56Z
android/codelab-android-paging	Jetpack Paging codelab	public	2023-04-22T11:39:07Z
android/car-samples	Multiple samples showing best practices for car app development on both Android Auto and Android Automotive OS.	public	2023-04-19T19:38:55Z
android/midi-samples	Samples showing best practices for MIDI on Android.	public	2023-04-12T23:58:04Z
android/deep-links		public	2023-04-11T22:10:31Z
android/codelab-java-friendly-kotlin		public	2023-04-10T04:32:21Z
android/codelab-android-dagger		public	2023-03-31T14:47:39Z
