eclipse/dirigible	Eclipse Dirigible™ Project	public	2023-09-26T19:00:07Z
eclipse/che	Kubernetes based Cloud Development Environments for Enterprise Teams	public	2023-09-26T18:53:23Z
eclipse/jetty.project	Eclipse Jetty® - Web Container & Clients - supports HTTP/2, HTTP/1.1, HTTP/1.0, websocket, servlets, and more	public	2023-09-26T18:46:26Z
eclipse/gemoc-studio-modeldebugging	gemoc-studio-modeldebugging	public	2023-09-26T17:16:16Z
eclipse/kuksa.val	kuksa.val	public	2023-09-26T17:13:51Z
eclipse/keyple-website	Eclipse Keyple™ Project: https://keyple.org/ website	public	2023-09-26T17:10:20Z
eclipse/gemoc-studio	gemoc-studio	public	2023-09-26T17:02:33Z
eclipse/gemoc-studio-moccml	gemoc-studio-moccml	public	2023-09-26T16:58:36Z
eclipse/gemoc-studio-execution-moccml	gemoc-studio-execution-moccml	public	2023-09-26T16:57:19Z
eclipse/eclipse-collections-kata	Eclipse Collections Katas	public	2023-09-26T16:43:35Z
eclipse/kapua		public	2023-09-26T16:21:01Z
eclipse/capella-website	Website for Capella	public	2023-09-26T16:13:46Z
eclipse/kura	Eclipse Kura™ project	public	2023-09-26T15:45:46Z
eclipse/keyple-card-calypso-java-lib	Eclipse Keyple™ Project: Calypso card extension lib for end users	public	2023-09-26T15:42:58Z
eclipse/keyple-card-calypso-crypto-legacysam-java-lib	Eclipse Keyple™ Project: Calypso legacy SAM extension lib for end users	public	2023-09-26T15:42:52Z
eclipse/cloe	Cloe	public	2023-09-26T15:19:39Z
eclipse/epsilon	Epsilon is a family of Java-based scripting languages for automating common model-based software engineering tasks, such as code generation, model-to-model transformation and model validation, that work out of the box with EMF (including Xtext and Sirius), UML (including Cameo/MagicDraw), Simulink, XML and other types of models.	public	2023-09-26T15:12:46Z
eclipse/kiso-testing		public	2023-09-26T14:44:35Z
eclipse/hawkbit	Eclipse hawkBit™	public	2023-09-26T14:18:39Z
eclipse/n4js		public	2023-09-26T14:12:20Z
eclipse/keyple-service-java-lib	Eclipse Keyple™ Project - Java implementation: main service API for end users	public	2023-09-26T14:01:08Z
eclipse/lsp4e	Language Server Protocol support in Eclipse IDE	public	2023-09-26T13:57:18Z
eclipse/buildship	The Eclipse Plug-ins for Gradle project.	public	2023-09-26T13:06:29Z
eclipse/capella-studio	Open source SDK to develop Capella add-ons	public	2023-09-26T12:53:16Z
eclipse/mraa	Linux Library for low speed IO Communication in C with bindings for C++, Python, Node.js & Java. Supports generic io platforms, as well as Intel Edison, Intel Joule, Raspberry Pi and many more.	public	2023-09-26T12:32:06Z
eclipse/gef-classic	Eclipse GEF(tm) Classic code	public	2023-09-26T11:45:38Z
eclipse/jetty.docker	jetty docker	public	2023-09-26T11:09:19Z
eclipse/chemclipse	ChemClipse Project	public	2023-09-26T11:06:50Z
eclipse/lemminx-maven	lemminx-maven	public	2023-09-26T09:59:18Z
eclipse/nebula	Nebula Project	public	2023-09-26T09:01:12Z
eclipse/capella	Open Source Solution for Model-Based Systems Engineering	public	2023-09-26T08:04:44Z
eclipse/wakaama	Eclipse Wakaama is a C implementation of the Open Mobile Alliance's LightWeight M2M protocol (LWM2M).	public	2023-09-26T07:53:46Z
eclipse/mosquitto	Eclipse Mosquitto - An open source MQTT broker	public	2023-09-26T07:50:39Z
eclipse/tahu	Eclipse Tahu addresses the existence of legacy SCADA/DCS/ICS protocols and infrastructures and provides a much-needed definition of how best to apply MQTT into these existing industrial operational environments.	public	2023-09-25T23:50:47Z
eclipse/jnosql	Eclipse JNoSQL is a framework which has the goal to help Java developers to create Jakarta EE applications with NoSQL.	public	2023-09-25T18:39:26Z
eclipse/org.eclipse.sensinact.gateway		public	2023-09-25T17:57:13Z
eclipse/jetty.toolchain	Eclipse Jetty® - Servlet Engine and Http Server project repository (jetty.toolchain)	public	2023-09-25T17:44:30Z
eclipse/omr	Eclipse OMR™ Cross platform components for building reliable, high performance language runtimes	public	2023-09-25T15:29:04Z
eclipse/dash-licenses	Extract license information from content.	public	2023-09-25T14:34:27Z
eclipse/jkube	Build and Deploy java applications on Kubernetes	public	2023-09-25T13:23:27Z
eclipse/transformer	Eclipse Transformer provides tools and runtime components that transform Java binaries, such as individual class files and complete JARs and WARs, mapping changes to Java packages, type names, and related resource names.	public	2023-09-25T11:30:18Z
eclipse/Xpect	This repository has been rewritten to move to the Eclipse Foundation. Find the old history here: https://github.com/TypeFox/Xpect	public	2023-09-25T07:42:09Z
eclipse/amlen	Message Broker for IoT/Mobile/Web. Mainly uses MQTT v3.x and v5. Aims to be easy to use, scalable and reliable	public	2023-09-25T07:16:42Z
eclipse/packages-website		public	2023-09-25T06:56:24Z
eclipse/packages	IoT Packages project	public	2023-09-25T06:05:52Z
eclipse/efbt	efbt	public	2023-09-24T21:57:16Z
eclipse/ecf	ECF project repository	public	2023-09-24T21:46:14Z
eclipse/agileuml	AgileUML tools for MDE using UML	public	2023-09-24T14:37:46Z
eclipse/elk-website		public	2023-09-23T02:39:50Z
eclipse/adore	Adore project	public	2023-09-22T21:01:45Z
eclipse/eclipse-collections	Eclipse Collections is a collections framework for Java with optimized data structures and a rich, functional and fluent API.	public	2023-09-22T18:28:19Z
eclipse/microprofile	Repository for important documentation - the index to the project / community	public	2023-09-22T16:38:22Z
eclipse/mwe	Modeling Workflow Engine project repository (mwe)	public	2023-09-22T15:50:10Z
eclipse/nebula-website		public	2023-09-22T15:37:37Z
eclipse/elk	Eclipse Layout Kernel - Automatic layout for Java applications.	public	2023-09-22T13:59:00Z
eclipse/capella-basic-vp		public	2023-09-22T12:28:18Z
eclipse/kitalpha		public	2023-09-22T12:01:51Z
eclipse/lsp4mp	Technology lsp4mp	public	2023-09-22T08:06:13Z
eclipse/jifa	Eclipse Jifa	public	2023-09-22T05:40:31Z
eclipse/microprofile-graphql	microprofile-graphql	public	2023-09-21T20:51:24Z
eclipse/paho.mqtt.embedded-c	Paho MQTT C client library for embedded systems. Paho is an Eclipse IoT project (https://iot.eclipse.org/)	public	2023-09-21T14:33:44Z
eclipse/microprofile-telemetry	microprofile telemetry	public	2023-09-21T14:08:29Z
eclipse/mosaic	Eclipse MOSAIC is a Multi-Domain and Multi-Scale Simulation Framework for Automated and Connected Mobility Scenarios.	public	2023-09-21T13:43:26Z
eclipse/xtext	Eclipse Xtext™ is a language development framework	public	2023-09-21T05:24:36Z
eclipse/paho.mqtt.c	An Eclipse Paho C client library for MQTT for Windows, Linux and MacOS. API documentation: https://eclipse.github.io/paho.mqtt.c/	public	2023-09-20T20:37:06Z
eclipse/lyo	Eclipse Lyo, a Java SDK for OSLC-based tool integration	public	2023-09-20T19:26:23Z
eclipse/emf.egf		public	2023-09-20T11:41:24Z
eclipse/microprofile-parent		public	2023-09-20T11:38:14Z
eclipse/repairnator	Software development bots for Github. Join the bot revolution! :star2::robot::star2::revolving_hearts:	public	2023-09-20T05:43:35Z
eclipse/microprofile-metrics	microprofile-metrics	public	2023-09-19T21:56:29Z
eclipse/microprofile-config	MicroProfile Configuration Feature	public	2023-09-19T21:50:38Z
eclipse/milo	Eclipse Milo™ - an open source implementation of OPC UA (IEC 62541).	public	2023-09-19T18:01:28Z
eclipse/keyple-service-resource-java-lib	Eclipse Keyple™ Project: add-on library to define a profile-based card resource allocation mechanism	public	2023-09-19T13:25:48Z
eclipse/kuksa.val.feeders	kuksa.val.feeders	public	2023-09-19T11:06:33Z
eclipse/jnosql-databases	This project contains Eclipse JNoSQL databases	public	2023-09-19T02:45:56Z
eclipse/tm4e	TextMate support in Eclipse IDE	public	2023-09-18T21:49:16Z
eclipse/kiso-testing-testapp		public	2023-09-18T19:13:50Z
eclipse/eclipsefuro-web	Enterprise ready set of web components which work best with Eclipse Furo. Comes with minimal footprint. Based on web standards. Future proved. Compliant with any technology of choice.	public	2023-09-17T11:30:31Z
eclipse/paho.golang	Go libraries	public	2023-09-17T10:02:09Z
eclipse/lemminx	XML Language Server	public	2023-09-15T19:51:36Z
eclipse/keyple-distributed-local-java-lib	Eclipse Keyple™ Project: distributed local service API for end users	public	2023-09-15T15:18:42Z
eclipse/keyple-distributed-local-java-api	Eclipse Keyple™ Project: API for distributed local service developers	public	2023-09-15T15:18:38Z
eclipse/keyple-distributed-remote-java-lib	Eclipse Keyple™ Project: distributed remote plugin API for end users	public	2023-09-15T15:18:34Z
eclipse/keyple-distributed-remote-java-api	Eclipse Keyple™ Project: API for distributed remote plugin developers	public	2023-09-15T15:18:30Z
eclipse/keyple-distributed-network-java-lib	Eclipse Keyple™ Project: distributed network API for end users	public	2023-09-15T15:18:26Z
eclipse/hawkbit-website		public	2023-09-14T12:10:19Z
eclipse/swtchart		public	2023-09-14T03:50:52Z
eclipse/lsp4jakarta	Language Server for Jakarta EE	public	2023-09-13T21:43:49Z
eclipse/paho.mqtt.java	Eclipse Paho Java MQTT client library. Paho is an Eclipse IoT project.	public	2023-09-13T20:36:40Z
eclipse/tinydtls	Eclipse tinydtls	public	2023-09-13T10:56:29Z
eclipse/kuksa.val.services	Repository for Vehicle Service Related implementations for Eclipse SDV	public	2023-09-13T07:24:08Z
eclipse/paho.mqtt.rust	paho.mqtt.rust	public	2023-09-12T21:23:41Z
eclipse/microprofile-reactive-messaging		public	2023-09-12T11:00:02Z
eclipse/aCute	Eclipse aCute - C# edition in Eclipse IDE	public	2023-09-12T05:53:40Z
eclipse/microprofile-jwtBridge	microprofile-jwtBridge	public	2023-09-11T18:53:59Z
eclipse/mosaic.website		public	2023-09-11T14:15:51Z
eclipse/keyple-util-java-lib	Eclipse Keyple™ Project: utility library for all users	public	2023-09-11T10:16:03Z
eclipse/kiso-testing-python-uds	kiso-testing-python-uds	public	2023-09-08T13:14:04Z
eclipse/winery	Eclipse Winery project	public	2023-09-08T12:24:44Z
eclipse/microprofile-reactive-streams-operators	Microprofile project	public	2023-09-08T10:45:18Z
eclipse/epsilon-website		public	2023-09-07T09:44:40Z
eclipse/capella-pipeline-library	capella-pipeline-library	public	2023-09-07T09:05:45Z
eclipse/org.eclipse.rcptt		public	2023-09-07T06:28:52Z
eclipse/reddeer	RedDeer Project	public	2023-09-06T08:29:41Z
eclipse/openvsx	An open-source registry for VS Code extensions	public	2023-09-05T14:08:37Z
eclipse/gmf-runtime	Eclipse GMF Runtime	public	2023-09-05T06:15:57Z
eclipse/paho.mqtt.m2mqtt		public	2023-09-04T10:31:55Z
eclipse/dartboard	Dart Plugin for Eclipse	public	2023-09-04T09:15:49Z
eclipse/paho.mqtt.golang		public	2023-09-04T08:38:09Z
eclipse/xacc	XACC - eXtreme-scale Accelerator programming framework	public	2023-09-01T17:56:15Z
eclipse/jetty-website	Contents and release generation for display on https://eclipse.dev/jetty	public	2023-09-01T16:42:19Z
eclipse/gef	Eclipse GEF™	public	2023-08-31T16:21:23Z
eclipse/capella-filtering	Filtering is an addon to filter capella models	public	2023-08-31T12:13:02Z
eclipse/capella-vpms	Enrich the capabilities regarding the definition of Capella Modes & States and analyze their consistency	public	2023-08-30T13:54:53Z
eclipse/jnosql-extensions	This project contains all specialization to Eclipse JNoSQL. The specific behavior in a NoSQL database matters, that's why there are Eclipse JNoSQL Mapper specializations.	public	2023-08-29T15:32:34Z
eclipse/lyo.designer	lyo.designer	public	2023-08-28T20:39:38Z
eclipse/steady	Analyses your Java applications for open-source dependencies with known vulnerabilities, using both static analysis and testing to determine code context and usage for greater accuracy. https://eclipse.github.io/steady/	public	2023-08-28T20:17:36Z
eclipse/sisu.plexus	Sisu Plexus	public	2023-08-28T17:15:20Z
eclipse/xtext-website-publish	xtext-website-publish	public	2023-08-27T17:39:18Z
eclipse/xtext-website		public	2023-08-27T17:38:11Z
eclipse/eclemma	:waning_crescent_moon:　Java Code Coverage for Eclipse IDE	public	2023-08-25T22:48:56Z
eclipse/hawkbit-examples		public	2023-08-24T13:06:22Z
eclipse/hawkbit-extensions		public	2023-08-24T12:53:46Z
eclipse/emf-transaction	EMF Transaction provides transactional semantics for (local) EMF model changes	public	2023-08-24T07:05:28Z
eclipse/emf-validation	EMF Validation extends the core validation support of EMF	public	2023-08-24T06:49:04Z
eclipse/mosquitto.rsmb	Mosquitto rsmb	public	2023-08-23T16:35:01Z
eclipse/poosl	Poosl project.	public	2023-08-21T08:51:05Z
eclipse/mat-website		public	2023-08-18T06:30:51Z
eclipse/vorto	Vorto Project	public	2023-08-17T13:31:46Z
eclipse/microprofile-rest-client	MicroProfile Rest Client	public	2023-08-16T16:08:03Z
eclipse/keyple	Eclipse Keyple™ Project: raw repository to handle issue: global for the project, or specific for a new component to create	public	2023-08-12T14:31:51Z
eclipse/microprofile-open-api	Microprofile open api	public	2023-08-11T13:10:08Z
eclipse/paho.mqtt.android	MQTT Android	public	2023-08-08T08:53:12Z
eclipse/ConfigJSR	JSR382	public	2023-08-06T14:45:08Z
eclipse/paho.mqtt-sn.embedded-c	Paho C MQTT-SN gateway and libraries for embedded systems. Paho is an Eclipse IoT project.	public	2023-08-02T13:49:03Z
eclipse/paho.mqtt.cpp		public	2023-07-31T15:04:10Z
eclipse/microprofile-starter	MicroProfile project generator source code	public	2023-07-31T14:14:30Z
eclipse/editdor	Eclipse ediTDor - A tool for simply designing W3C Thing Descriptions	public	2023-07-31T10:06:59Z
eclipse/efbt-website		public	2023-07-30T11:25:01Z
eclipse/openmcx	openmcx	public	2023-07-28T14:09:54Z
